primary_name,production_budget,domestic_gross,worldwide_gross,domestic_roi,worldwide_roi,averagerating,numvotes,count,total_production_budget,total_domestic_gross,total_worldwide_gross
Bob Logan,70000000.0,59281555.0,122737201.0,0.8468793571428571,1.7533885857142857,6.0,18926.0,1,70000000,59281555,122737201
Bob Odenkirk,10000000.0,8840453.0,31164747.0,0.8840453,3.1164747,4.3,92980.0,1,10000000,8840453,31164747
Bobby Farrelly,46000000.0,58535656.0,99259772.0,1.431932967647059,2.332514766993464,5.533333333333334,86997.0,3,138000000,175606968,297779316
Boots Riley,3200000.0,17493096.0,18285560.0,5.4665925,5.7142375,7.0,40290.0,1,3200000,17493096,18285560
Boyapati Srinu,25000000.0,8687553.0,32965843.5,0.34750212,1.3186337399999999,6.5,1568.0,2,50000000,17375106,65931687
Brad Anderson,12800000.0,51872378.0,69821476.0,4.05252953125,5.4548028125,6.7,103780.0,1,12800000,51872378,69821476
Brad Bird,185000000.0,351009033.0,724574114.5,1.7962670717647058,3.714029771617647,7.050000000000001,182426.5,2,370000000,702018066,1449148229
Brad Furman,39166666.666666664,30920884.666666668,56125290.0,0.8063678771929824,1.5439623646198832,6.633333333333333,105297.0,3,117500000,92762654,168375870
Brad J. Silverman,1700000.0,2507159.0,2507159.0,1.4747994117647059,1.4747994117647059,6.2,3006.0,1,1700000,2507159,2507159
Brad Peyton,79800000.0,81692976.4,264971680.0,1.0080286534033935,2.989207305440556,5.5200000000000005,83001.4,5,399000000,408464882,1324858400
Brad Scriffiano,25000000.0,30082699.0,82150642.0,1.20330796,3.28602568,8.1,12.0,1,25000000,30082699,82150642
Bradford Lewis,200000000.0,191450875.0,560155383.0,0.957254375,2.800776915,6.2,138914.0,1,200000000,191450875,560155383
Bradley Parker,1000000.0,18119640.0,42411721.0,18.11964,42.411721,5.0,60304.0,1,1000000,18119640,42411721
Brandon Camp,500000.0,31559560.0,31559560.0,63.11912,63.11912,6.4,2779.0,1,500000,31559560,31559560
Brandon Slagle,5500000.0,1060512.0,1060512.0,0.19282036363636362,0.19282036363636362,5.0,159.0,1,5500000,1060512,1060512
Breck Eisner,49500000.0,33245624.5,93632223.0,1.2006160065789473,2.3030269894736843,6.25,95291.5,2,99000000,66491249,187264446
Brenda Chapman,185000000.0,237282182.0,554606532.0,1.2826063891891892,2.997873145945946,7.1,338728.0,1,185000000,237282182,554606532
Brenna Sanchez,225000.0,1109276.0,1109276.0,4.930115555555555,4.930115555555555,7.5,663.0,1,225000,1109276,1109276
Brett Bentman,25000000.0,43035725.0,52427346.0,1.721429,2.09709384,4.7,150.0,1,25000000,43035725,52427346
Brett Haley,2000000.0,2386254.0,2420962.0,1.193127,1.210481,6.9,6543.0,1,2000000,2386254,2420962
Brett Ratner,66250000.0,64671934.5,168919076.75,0.9862533845798319,2.7253677822689073,5.625,123164.0,4,265000000,258687738,675676307
Brett Sullivan,5000000.0,21995263.0,109253745.0,4.3990526,21.850749,8.5,1109.0,1,5000000,21995263,109253745
Brian A. Miller,39000000.0,23918141.0,35441585.5,0.3986356833333333,0.5906930916666666,4.4,15242.0,2,78000000,47836282,70883171
Brian De Palma,50000000.0,10169202.0,23574057.0,0.20338404,0.47148114,4.6,758.0,1,50000000,10169202,23574057
Brian Fee,175000000.0,152901115.0,383541369.0,0.8737206571428572,2.1916649657142857,6.8,59408.0,1,175000000,152901115,383541369
Brian Helgeland,27000000.0,37465106.333333336,54467462.666666664,1.2533908004301075,1.9271612137634409,7.166666666666667,118532.33333333333,3,81000000,112395319,163402388
Brian Klugman,6000000.0,11494838.0,16369708.0,1.9158063333333333,2.7282846666666667,7.1,70308.0,1,6000000,11494838,16369708
Brian Levant,28000000.0,24307106.0,46752858.0,0.8681109285714286,1.6697449285714285,5.5,36767.0,1,28000000,24307106,46752858
Brian Percival,19000000.0,21488481.0,76086711.0,1.1309726842105263,4.004563736842106,7.6,119023.0,1,19000000,21488481,76086711
Brian Robbins,40000000.0,18450127.0,20790486.0,0.461253175,0.51976215,5.9,36387.0,1,40000000,18450127,20790486
Brian Taylor,57000000.0,51774002.0,149217355.0,0.9083158245614035,2.6178483333333333,4.3,103608.0,1,57000000,51774002,149217355
Brillante Mendoza,2000000.0,2583301.0,2791973.0,1.2916505,1.3959865,6.0,674.0,1,2000000,2583301,2791973
Bronwyn Purvis,15000000.0,35060689.0,81357930.0,2.337379266666667,5.423862,6.3,20.0,1,15000000,35060689,81357930
Bruce Ramsay,10000000.0,3039190.5,4774669.5,0.5193521388888889,0.8029636388888889,5.4,22.0,2,20000000,6078381,9549339
Bruce Robinson,45000000.0,13109815.0,21544732.0,0.29132922222222224,0.4787718222222222,6.2,94787.0,1,45000000,13109815,21544732
Bryan Singer,157000000.0,167713741.25,595768316.5,1.5774908654826354,6.018380239924144,7.325,361307.0,4,628000000,670854965,2383073266
Burr Steers,36000000.0,21056777.0,32558192.0,0.5493896785714286,0.8479998181818181,6.15,50601.5,2,72000000,42113554,65116384
Byron Howard,205000000.0,271045092.0,802953428.0,1.5237568574358973,4.525939566153847,7.9,374906.0,2,410000000,542090184,1605906856
Cal Brunker,40000000.0,28370522.0,57438389.0,0.70926305,1.435959725,5.5,4820.0,1,40000000,28370522,57438389
Caleb Doyle,127000000.0,226277068.0,615461394.0,1.7817091968503938,4.846152708661418,6.2,252.0,1,127000000,226277068,615461394
Cameron Crowe,43500000.0,48338290.0,72058082.0,1.040732391891892,1.5303595272972972,6.25,90747.5,2,87000000,96676580,144116164
Camille Delamarre,25000000.0,18213249.5,71559859.5,0.7285397711038961,2.89514999025974,5.45,36864.5,2,50000000,36426499,143119719
Can Emre,70000000.0,65011757.0,131011757.0,0.9287393857142857,1.8715965285714287,7.3,1555.0,1,70000000,65011757,131011757
Candy J. Beard,90000000.0,8224288.0,10551417.0,0.09138097777777777,0.11723796666666667,8.8,53.0,1,90000000,8224288,10551417
Cara Greene,60000000.0,30063805.0,30063805.0,0.5010634166666667,0.5010634166666667,4.8,104.0,1,60000000,30063805,30063805
Carl Rinsch,175000000.0,38362475.0,151716815.0,0.21921414285714286,0.8669532285714285,6.3,135754.0,1,175000000,38362475,151716815
Carlos Saldanha,110333333.33333333,119856208.0,423404676.6666667,1.1226878816046817,3.9397515648879646,6.633333333333333,101353.0,3,331000000,359568624,1270214030
Carmen Jaquier,5500000.0,1060512.0,1060512.0,0.19282036363636362,0.19282036363636362,6.1,206.0,1,5500000,1060512,1060512
Cary Solomon,6000000.0,18107621.0,18107621.0,3.017936833333333,3.017936833333333,6.3,5945.0,1,6000000,18107621,18107621
Catherine Hardwicke,19666666.666666668,17554423.0,35689868.0,0.6327088698412698,1.0738017492063492,5.466666666666666,36523.0,3,59000000,52663269,107069604
Caytha Jentis,49000000.0,43905746.0,72689126.0,0.8960356326530612,1.4834515510204083,5.0,681.0,1,49000000,43905746,72689126
Cem Özüduru,70000000.0,65011757.0,131011757.0,0.9287393857142857,1.8715965285714287,7.3,1555.0,1,70000000,65011757,131011757
Cesar Montano,24000000.0,39687694.0,99135571.0,1.6536539166666666,4.130648791666666,5.8,85.0,1,24000000,39687694,99135571
Chad Stahelski,30000000.0,43037835.0,76235001.0,1.4345945,2.5411667,7.4,449942.0,1,30000000,43037835,76235001
Chad Zuver,2157000.0,8961155.5,17961155.5,53.70811085839599,132.65547927944863,5.3,277.0,2,4314000,17922311,35922311
Chan-wook Park,12000000.0,1703125.0,12034913.0,0.14192708333333334,1.0029094166666668,6.8,97393.0,1,12000000,1703125,12034913
